27 216 61452.00 P  0.057630 0.011232  0.411911 0.016010  P-0.1244598 0.0136688                                                                                                             
27 217 61453.00 P  0.057952 0.011270  0.413320 0.016079  P-0.1246016 0.0137325                                                                                                             
27 218 61454.00 P  0.058300 0.011309  0.414724 0.016148  P-0.1248583 0.0137961                                                                                                             
27 219 61455.00 P  0.058676 0.011347  0.416125 0.016218  P-0.1253550 0.0138596                                                                                                             
27 220 61456.00 P  0.059079 0.011385  0.417522 0.016287  P-0.1261567 0.0139230                                                                                                             
27 221 61457.00 P  0.059509 0.011423  0.418914 0.016356  P-0.1272412 0.0139863                                                                                                             
27 222 61458.00 P  0.059965 0.011461  0.420300 0.016424  P-0.1285041 0.0140495                                                                                                             
27 223 61459.00 P  0.060449 0.011499  0.421682 0.016493  P-0.1297970 0.0141127                                                                                                             
27 224 61460.00 P  0.060960 0.011537  0.423057 0.016562  P-0.1309766 0.0141757                                                                                                             
27 225 61461.00 P  0.061497 0.011575  0.424426 0.016630  P-0.1319458 0.0142386                                                                                                             
27 226 61462.00 P  0.062061 0.011613  0.425789 0.016699  P-0.1326683 0.0143014                                                                                                             
27 227 61463.00 P  0.062652 0.011650  0.427144 0.016767  P-0.1331605 0.0143642                                                                                                             
27 228 61464.00 P  0.063269 0.011688  0.428492 0.016835  P-0.1334726 0.0144268                                                                                                             
27 3 1 61465.00 P  0.063913 0.011725  0.429832 0.016903  P-0.1336727 0.0144894                                                                                                             
27 3 2 61466.00 P  0.064583 0.011762  0.431164 0.016971  P-0.1338366 0.0145519                                                                                                             
27 3 3 61467.00 P  0.065279 0.011800  0.432487 0.017039  P-0.1340426 0.0146142                                                                                                             
27 3 4 61468.00 P  0.066002 0.011837  0.433801 0.017106  P-0.1343649 0.0146765                                                                                                             
27 3 5 61469.00 P  0.066750 0.011874  0.435106 0.017174  P-0.1348647 0.0147387                                                                                                             
27 3 6 61470.00 P  0.067524 0.011911  0.436400 0.017242  P-0.1355810 0.0148008                                                                                                             
27 3 7 61471.00 P  0.068324 0.011948  0.437685 0.017309  P-0.1365219 0.0148629                                                                                                             
27 3 8 61472.00 P  0.069149 0.011984  0.438958 0.017376  P-0.1376605 0.0149248                                                                                                             
27 3 9 61473.00 P  0.070000 0.012021  0.440221 0.017444  P-0.1389340 0.0149867                                                                                                             
27 310 61474.00 P  0.070876 0.012058  0.441472 0.017511  P-0.1402490 0.0150484                                                                                                             
27 311 61475.00 P  0.071777 0.012094  0.442712 0.017578  P-0.1414946 0.0151101                                                                                                             
27 312 61476.00 P  0.072702 0.012131  0.443939 0.017645  P-0.1425652 0.0151717                                                                                                             
27 313 61477.00 P  0.073652 0.012167  0.445153 0.017711  P-0.1433865 0.0152332                                                                                                             
27 314 61478.00 P  0.074627 0.012203  0.446355 0.017778  P-0.1439394 0.0152946                                                                                                             
27 315 61479.00 P  0.075625 0.012239  0.447543 0.017845  P-0.1442709 0.0153560                                                                                                             
27 316 61480.00 P  0.076648 0.012275  0.448718 0.017911  P-0.1444867 0.0154172                                                                                                             
27 317 61481.00 P  0.077695 0.012311  0.449878 0.017978  P-0.1447259 0.0154784                                                                                                             
27 318 61482.00 P  0.078764 0.012347  0.451025 0.018044  P-0.1451240 0.0155395                                                                                                             
27 319 61483.00 P  0.079858 0.012383  0.452156 0.018110  P-0.1457745 0.0156005                                                                                                             
27 320 61484.00 P  0.080974 0.012419  0.453272 0.018176  P-0.1466998 0.0156614                                                                                                             
27 321 61485.00 P  0.082113 0.012455  0.454373 0.018242  P-0.1478416 0.0157223                                                                                                             
27 322 61486.00 P  0.083274 0.012490  0.455458 0.018308  P-0.1490774 0.0157831                                                                                                             
27 323 61487.00 P  0.084458 0.012526  0.456526 0.018374  P-0.1502578 0.0158438                                                                                                             
27 324 61488.00 P  0.085663 0.012561  0.457578 0.018440  P-0.1512511 0.0159044                                                                                                             
27 325 61489.00 P  0.086890 0.012597  0.458613 0.018506  P-0.1519752 0.0159649                                                                                                             
27 326 61490.00 P  0.088139 0.012632  0.459631 0.018571  P-0.1524091 0.0160254                                                                                                             
27 327 61491.00 P  0.089408 0.012667  0.460632 0.018637  P-0.1525854 0.0160858                                                                                                             
27 328 61492.00 P  0.090699 0.012703  0.461614 0.018702  P-0.1525715 0.0161461                                                                                                             
27 329 61493.00 P  0.092009 0.012738  0.462579 0.018768  P-0.1524525 0.0162063                                                                                                             
27 330 61494.00 P  0.093340 0.012773  0.463524 0.018833  P-0.1523173 0.0162665                                                                                                             
27 331 61495.00 P  0.094691 0.012808  0.464451 0.018898  P-0.1522483 0.0163265                                                                                                             
27 4 1 61496.00 P  0.096061 0.012843  0.465359 0.018963  P-0.1523123 0.0163866                                                                                                             
27 4 2 61497.00 P  0.097450 0.012877  0.466248 0.019028  P-0.1525499 0.0164465                                                                                                             
27 4 3 61498.00 P  0.098858 0.012912  0.467116 0.019093  P-0.1529720 0.0165063                                                                                                             
27 4 4 61499.00 P  0.100285 0.012947  0.467965 0.019158  P-0.1535633 0.0165661                                                                                                             
27 4 5 61500.00 P  0.101729 0.012982  0.468793 0.019222  P-0.1542827 0.0166258                                                                                                             
27 4 6 61501.00 P  0.103191 0.013016  0.469601 0.019287  P-0.1550593 0.0166855                                                                                                             
27 4 7 61502.00 P  0.104671 0.013051  0.470388 0.019352  P-0.1558019 0.0167451                                                                                                             
27 4 8 61503.00 P  0.106167 0.013085  0.471153 0.019416  P-0.1564273 0.0168046                                                                                                             
27 4 9 61504.00 P  0.107680 0.013119  0.471898 0.019480  P-0.1568791 0.0168640                                                                                                             
27 410 61505.00 P  0.109209 0.013154  0.472620 0.019545  P-0.1571360 0.0169233                                                                                                             
27 411 61506.00 P  0.110755 0.013188  0.473321 0.019609  P-0.1572305 0.0169826                                                                                                             
27 412 61507.00 P  0.112315 0.013222  0.473999 0.019673  P-0.1572367 0.0170419                                                                                                             
27 413 61508.00 P  0.113890 0.013256  0.474655 0.019737  P-0.1572801 0.0171010                                                                                                             
27 414 61509.00 P  0.115480 0.013290  0.475288 0.019801  P-0.1574746 0.0171601                                                                                                             
27 415 61510.00 P  0.117085 0.013324  0.475899 0.019865  P-0.1579294 0.0172191                                                                                                             
27 416 61511.00 P  0.118703 0.013358  0.476486 0.019929  P-0.1586667 0.0172780                                                                                                             
27 417 61512.00 P  0.120334 0.013392  0.477050 0.019992  P-0.1596364 0.0173369                                                                                                             
27 418 61513.00 P  0.121978 0.013425  0.477590 0.020056  P-0.1607868 0.0173957                                                                                                             
27 419 61514.00 P  0.123635 0.013459  0.478106 0.020120  P-0.1619711 0.0174545                                                                                                             
27 420 61515.00 P  0.125303 0.013493  0.478599 0.020183  P-0.1630403 0.0175131                                                                                                             
27 421 61516.00 P  0.126984 0.013526  0.479067 0.020247  P-0.1639613 0.0175718                                                                                                             
27 422 61517.00 P  0.128675 0.013560  0.479511 0.020310  P-0.1645839 0.0176303                                                                                                             
27 423 61518.00 P  0.130377 0.013593  0.479930 0.020373  P-0.1650316 0.0176888                                                                                                             
27 424 61519.00 P  0.132090 0.013626  0.480325 0.020436  P-0.1652282 0.0177472                                                                                                             
27 425 61520.00 P  0.133812 0.013660  0.480695 0.020500  P-0.1653730 0.0178055                                                                                                             
27 426 61521.00 P  0.135543 0.013693  0.481039 0.020563  P-0.1654169 0.0178638                                                                                                             
27 427 61522.00 P  0.137283 0.013726  0.481359 0.020626  P-0.1654754 0.0179220                                                                                                             
27 428 61523.00 P  0.139032 0.013759  0.481653 0.020688  P-0.1656025 0.0179802                                                                                                             
27 429 61524.00 P  0.140789 0.013792  0.481921 0.020751  P-0.1658977 0.0180383                                                                                                             
27 430 61525.00 P  0.142553 0.013825  0.482164 0.020814  P-0.1664349 0.0180963                                                                                                             
27 5 1 61526.00 P  0.144324 0.013858  0.482381 0.020877  P-0.1670663 0.0181543                                                                                                             
27 5 2 61527.00 P  0.146101 0.013891  0.482572 0.020939  P-0.1677994 0.0182122                                                                                                             
27 5 3 61528.00 P  0.147885 0.013924  0.482737 0.021002  P-0.1685667 0.0182700                                                                                                             
27 5 4 61529.00 P  0.149674 0.013957  0.482876 0.021064  P-0.1693260 0.0183278                                                                                                             
27 5 5 61530.00 P  0.151468 0.013989  0.482989 0.021127  P-0.1699501 0.0183855                                                                                                             
27 5 6 61531.00 P  0.153266 0.014022  0.483076 0.021189  P-0.1703551 0.0184432                                                                                                             
27 5 7 61532.00 P  0.155069 0.014055  0.483136 0.021251  P-0.1705530 0.0185008                                                                                                             
27 5 8 61533.00 P  0.156875 0.014087  0.483169 0.021313  P-0.1705592 0.0185583                                                                                                             
27 5 9 61534.00 P  0.158684 0.014120  0.483177 0.021375  P-0.1704151 0.0186158                                                                                                             
27 510 61535.00 P  0.160496 0.014152  0.483157 0.021437  P-0.1702929 0.0186732                                                                                                             
27 511 61536.00 P  0.162310 0.014185  0.483111 0.021499  P-0.1702254 0.0187306                                                                                                             
27 512 61537.00 P  0.164125 0.014217  0.483038 0.021561  P-0.1703609 0.0187879                                                                                                             
