27 315 61479.00 P  0.090485 0.011546  0.448055 0.016807  P-0.1695742 0.0140495                                                                                                             
27 316 61480.00 P  0.091496 0.011585  0.449040 0.016877  P-0.1700372 0.0141127                                                                                                             
27 317 61481.00 P  0.092528 0.011623  0.450011 0.016947  P-0.1705691 0.0141757                                                                                                             
27 318 61482.00 P  0.093581 0.011661  0.450968 0.017017  P-0.1712958 0.0142386                                                                                                             
27 319 61483.00 P  0.094654 0.011699  0.451910 0.017087  P-0.1723046 0.0143014                                                                                                             
27 320 61484.00 P  0.095747 0.011736  0.452837 0.017157  P-0.1736157 0.0143642                                                                                                             
27 321 61485.00 P  0.096860 0.011774  0.453749 0.017227  P-0.1751710 0.0144268                                                                                                             
27 322 61486.00 P  0.097992 0.011812  0.454645 0.017296  P-0.1768520 0.0144894                                                                                                             
27 323 61487.00 P  0.099144 0.011849  0.455526 0.017366  P-0.1785172 0.0145519                                                                                                             
27 324 61488.00 P  0.100315 0.011887  0.456390 0.017435  P-0.1800461 0.0146142                                                                                                             
27 325 61489.00 P  0.101504 0.011924  0.457238 0.017505  P-0.1813702 0.0146765                                                                                                             
27 326 61490.00 P  0.102712 0.011962  0.458069 0.017574  P-0.1824803 0.0147387                                                                                                             
27 327 61491.00 P  0.103938 0.011999  0.458883 0.017643  P-0.1834142 0.0148008                                                                                                             
27 328 61492.00 P  0.105182 0.012036  0.459680 0.017712  P-0.1842372 0.0148629                                                                                                             
27 329 61493.00 P  0.106443 0.012073  0.460459 0.017781  P-0.1850236 0.0149248                                                                                                             
27 330 61494.00 P  0.107722 0.012110  0.461221 0.017850  P-0.1858449 0.0149867                                                                                                             
27 331 61495.00 P  0.109018 0.012147  0.461964 0.017918  P-0.1867607 0.0150484                                                                                                             
27 4 1 61496.00 P  0.110330 0.012184  0.462689 0.017987  P-0.1878110 0.0151101                                                                                                             
27 4 2 61497.00 P  0.111659 0.012220  0.463395 0.018055  P-0.1890098 0.0151717                                                                                                             
27 4 3 61498.00 P  0.113004 0.012257  0.464082 0.018124  P-0.1903427 0.0152332                                                                                                             
27 4 4 61499.00 P  0.114365 0.012293  0.464750 0.018192  P-0.1917698 0.0152946                                                                                                             
27 4 5 61500.00 P  0.115741 0.012330  0.465399 0.018260  P-0.1932319 0.0153560                                                                                                             
27 4 6 61501.00 P  0.117131 0.012366  0.466028 0.018328  P-0.1946561 0.0154172                                                                                                             
27 4 7 61502.00 P  0.118537 0.012403  0.466638 0.018396  P-0.1959606 0.0154784                                                                                                             
27 4 8 61503.00 P  0.119957 0.012439  0.467227 0.018464  P-0.1970656 0.0155395                                                                                                             
27 4 9 61504.00 P  0.121391 0.012475  0.467796 0.018532  P-0.1979120 0.0156005                                                                                                             
27 410 61505.00 P  0.122838 0.012511  0.468344 0.018599  P-0.1984835 0.0156614                                                                                                             
27 411 61506.00 P  0.124299 0.012547  0.468871 0.018667  P-0.1988202 0.0157223                                                                                                             
27 412 61507.00 P  0.125773 0.012583  0.469378 0.018734  P-0.1990157 0.0157831                                                                                                             
27 413 61508.00 P  0.127259 0.012619  0.469863 0.018802  P-0.1991950 0.0158438                                                                                                             
27 414 61509.00 P  0.128757 0.012654  0.470327 0.018869  P-0.1994836 0.0159044                                                                                                             
27 415 61510.00 P  0.130267 0.012690  0.470769 0.018936  P-0.1999750 0.0159649                                                                                                             
27 416 61511.00 P  0.131788 0.012726  0.471190 0.019004  P-0.2007073 0.0160254                                                                                                             
27 417 61512.00 P  0.133320 0.012761  0.471588 0.019071  P-0.2016536 0.0160858                                                                                                             
27 418 61513.00 P  0.134863 0.012797  0.471964 0.019137  P-0.2027300 0.0161461                                                                                                             
27 419 61514.00 P  0.136416 0.012832  0.472319 0.019204  P-0.2038202 0.0162063                                                                                                             
27 420 61515.00 P  0.137978 0.012867  0.472650 0.019271  P-0.2048087 0.0162665                                                                                                             
27 421 61516.00 P  0.139550 0.012903  0.472959 0.019338  P-0.2056105 0.0163265                                                                                                             
27 422 61517.00 P  0.141131 0.012938  0.473245 0.019404  P-0.2061854 0.0163866                                                                                                             
27 423 61518.00 P  0.142720 0.012973  0.473508 0.019471  P-0.2065376 0.0164465                                                                                                             
27 424 61519.00 P  0.144317 0.013008  0.473749 0.019537  P-0.2067036 0.0165063                                                                                                             
27 425 61520.00 P  0.145922 0.013043  0.473966 0.019603  P-0.2067376 0.0165661                                                                                                             
27 426 61521.00 P  0.147534 0.013078  0.474159 0.019670  P-0.2067009 0.0166258                                                                                                             
27 427 61522.00 P  0.149153 0.013112  0.474329 0.019736  P-0.2066515 0.0166855                                                                                                             
27 428 61523.00 P  0.150778 0.013147  0.474476 0.019802  P-0.2066376 0.0167451                                                                                                             
27 429 61524.00 P  0.152409 0.013182  0.474599 0.019868  P-0.2067140 0.0168046                                                                                                             
27 430 61525.00 P  0.154046 0.013216  0.474698 0.019934  P-0.2069420 0.0168640                                                                                                             
27 5 1 61526.00 P  0.155688 0.013251  0.474773 0.020000  P-0.2073367 0.0169233                                                                                                             
27 5 2 61527.00 P  0.157334 0.013285  0.474824 0.020065  P-0.2078570 0.0169826                                                                                                             
27 5 3 61528.00 P  0.158984 0.013320  0.474851 0.020131  P-0.2084205 0.0170419                                                                                                             
27 5 4 61529.00 P  0.160638 0.013354  0.474854 0.020196  P-0.2089470 0.0171010                                                                                                             
27 5 5 61530.00 P  0.162295 0.013388  0.474833 0.020262  P-0.2093633 0.0171601                                                                                                             
27 5 6 61531.00 P  0.163955 0.013422  0.474788 0.020327  P-0.2095847 0.0172191                                                                                                             
27 5 7 61532.00 P  0.165617 0.013457  0.474718 0.020393  P-0.2095904 0.0172780                                                                                                             
27 5 8 61533.00 P  0.167281 0.013491  0.474623 0.020458  P-0.2093492 0.0173369                                                                                                             
27 5 9 61534.00 P  0.168946 0.013525  0.474505 0.020523  P-0.2090039 0.0173957                                                                                                             
27 510 61535.00 P  0.170613 0.013559  0.474362 0.020588  P-0.2087351 0.0174545                                                                                                             
27 511 61536.00 P  0.172280 0.013592  0.474194 0.020653  P-0.2085900 0.0175131                                                                                                             
27 512 61537.00 P  0.173946 0.013626  0.474002 0.020718  P-0.2085863 0.0175718                                                                                                             
27 513 61538.00 P  0.175613 0.013660  0.473786 0.020783  P-0.2087319 0.0176303                                                                                                             
27 514 61539.00 P  0.177278 0.013694  0.473544 0.020847  P-0.2090929 0.0176888                                                                                                             
27 515 61540.00 P  0.178942 0.013727  0.473279 0.020912  P-0.2095351 0.0177472                                                                                                             
27 516 61541.00 P  0.180604 0.013761  0.472989 0.020977  P-0.2100243 0.0178055                                                                                                             
27 517 61542.00 P  0.182263 0.013794  0.472674 0.021041  P-0.2103810 0.0178638                                                                                                             
27 518 61543.00 P  0.183920 0.013828  0.472335 0.021106  P-0.2104800 0.0179220                                                                                                             
27 519 61544.00 P  0.185574 0.013861  0.471971 0.021170  P-0.2103394 0.0179802                                                                                                             
27 520 61545.00 P  0.187224 0.013894  0.471583 0.021234  P-0.2099617 0.0180383                                                                                                             
27 521 61546.00 P  0.188869 0.013928  0.471171 0.021298  P-0.2094210 0.0180963                                                                                                             
27 522 61547.00 P  0.190510 0.013961  0.470734 0.021363  P-0.2087300 0.0181543                                                                                                             
27 523 61548.00 P  0.192146 0.013994  0.470273 0.021427  P-0.2080319 0.0182122                                                                                                             
27 524 61549.00 P  0.193776 0.014027  0.469788 0.021491  P-0.2073135 0.0182700                                                                                                             
27 525 61550.00 P  0.195400 0.014060  0.469278 0.021554  P-0.2067113 0.0183278                                                                                                             
27 526 61551.00 P  0.197017 0.014093  0.468745 0.021618  P-0.2062316 0.0183855                                                                                                             
27 527 61552.00 P  0.198627 0.014126  0.468187 0.021682  P-0.2059504 0.0184432                                                                                                             
